"","ESt.","exp(Est.)","s.e.","p-value"
"intercept",-2.22228632657848,0.108361076582185,0.352913316683585,0.0038
"sameDep",1.20380674577008,3.33277985077034,0.272473048867766,2e-04
"senioritySender",0.05270326568679,1.05411680608012,0.0165669448817824,0.1534
"ageDiff",-0.0573983040547767,0.944217908636722,0.0165396127122903,0.0288
"sameLevel",1.04909902907826,2.8550776170002,0.272547712684009,0.0148
